title,doi,year
Eleven-Year-Old Girl With Bilateral Leg Pain: A Case Report on Recognizing Hypoparathyroidism in Pediatric Practice.,10.1016/j.pedhc.2025.12.023,2026
Thermographic response to acute muscle fatigue and delayed onset soreness (DOMS) following a protocol until exhaustion with concentric exercises in the triceps suralis.,10.1088/1361-6579/ae37c4,2026
Sex Hormones Attenuate Pro-Inflammatory Gene Expression in Nucleus Pulposus and Annulus Fibrosus Cells in a Cell-Type Specific Manner.,10.1002/jsp2.70152,2026
Relation between clinical findings and diagnostic parameters in patients undergoing superficial venous intervention for symptomatic chronic venous disease due to isolated venous reflux.,10.1016/j.jvsv.2026.102445,2026
Cationic liposome-mediated intra-articular delivery of lorecivivint for osteoarthritis treatment.,10.1016/j.ejpb.2026.114980,2026
"Non-ideal osmolality behavior in high-concentration protein formulations: mechanistic insights from freezing-point depression, vapor-pressure deficit, and molecular dynamics simulations.",10.1016/j.ijpharm.2026.126553,2026
Assessing Physiological and Behavioral Stress Parameters in Trained Goats During Repeated Blood Sampling.,10.3390/ani16010105,2025
Bilateral rhabdomyolysis after radical hysterectomy in the prolonged lithotomy position: a case report.,10.1186/s13256-025-05071-y,2026
Comparison of serological tools for reliable diagnosis of brucellosis circulation in the West-African context.,10.1186/s12917-025-05183-z,2026
Isolated Lateral Calf Compartment Syndrome from a Sports Injury: A Case Report and Review of the Literature.,10.2106/JBJS.CC.25.00121,2026
Yoga for Opioid Withdrawal and Autonomic Regulation: A Randomized Clinical Trial.,10.1001/jamapsychiatry.2025.3863,2026
"Plantar fasciopathy: a comprehensive, evidence-based guide for diagnosis and treatment.",10.23736/S0022-4707.25.16993-4,2026
A comparison of short-term analgesic effects of xylazine alone or combined with levomethadone or ketamine in calves after hot-iron disbudding.,10.3168/jds.2025-27126,2026
Arthroscopic Bioinductive Collagen Scaffold Augmentation in High-Risk Posterosuperior Rotator Cuff Tears: Clinical and Radiological Outcomes.,10.3390/jcm14248797,2025
Viral glycoprotein-mimicking peptide-functionalized micelles promote drug delivery to diseased chondrocytes for osteoarthritis alleviation.,10.1038/s41565-025-02082-0,2026
Harnessing Antioxidants for Enhanced Bovine Embryo Production: Current Insights and Future Directions.,10.1111/rda.70156,2025
Differences in calf-raise exercise and short-foot exercise on feedforward and feedback activation in healthy young.,10.1016/j.ptsp.2025.11.004,2026
Antibiotics guided by metagenomic next-generation sequencing to control infection after total knee arthroplasty: A case report and literature review.,10.1097/MD.0000000000046734,2025
Infectious Aortitis Presenting as Constipation: A Diagnostic Pitfall.,10.7759/cureus.97129,2025
Design and evaluation of a magnetic resonance-guided focused ultrasound system for the treatment of cervical spine pain.,10.1002/mp.70221,2026
"Global burden of lower respiratory infections and aetiologies, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.",10.1016/S1473-3099(25)00689-9,2026
Doxycycline and IGF-1 as a synergistic combination therapy for OA disease modification.,10.1016/j.biopha.2025.118897,2026
Musculoskeletal and work characteristics of Brazilian reproduction veterinarians with shoulder and neck symptoms: A cross-sectional study.,10.1177/10519815251400863,2025
Sensitivity of Structural and Mechanical Markers of Muscle and Tendon Damage Responses After Eccentric Plantar Flexor Exercise.,10.1519/JSC.0000000000005319,2026
Incorporation of Pattern Recognition Receptor Agonists in Hydrogels to Induce Rotator Cuff Healing.,10.1177/19373341251404400,2025
Assessment of lasting pain following castration in 2-week-old calves.,10.1016/j.animal.2025.101719,2026
Bovine lactoferrin-induced antinociception through 5-HT(1A/1D) receptors in formalin-induced tonic pain.,10.1016/j.neulet.2025.138490,2026
"Calf Strains in Athletes: A Narrative Review of Management, Injury Grading, and Return to Sport.",10.1186/s40798-025-00960-4,2025
Efficacy of an acute bout of isometric wall squat exercise on pain sensitivity and clinical pain intensity in adults with knee osteoarthritis: a randomised controlled trial in outpatient physiotherapy clinics in Saudi Arabia.,10.1136/bmjopen-2025-103756,2025
The feasibility of a subgroup approach to create sensory-motor behavioral response profiles from a modified quantitative sensory test in cerebral palsy.,10.1097/j.pain.0000000000003884,2025
Gastrocnemius-soleus intramuscular lipoma misinterpreted as hemangioma: a rare case report.,10.1097/MS9.0000000000004070,2025
Ultrasound-Triggered Gelation for Restoring Biomechanical Properties of Degenerated Functional Spinal Units.,10.1002/adhm.202501823,2026
Establishment and Characterization of Bovine Trophoblast Stem Cells Growing as Adherent Cells or Vesicles.,10.1002/mrd.70073,2025
Is the temporomandibular joint affected by rheumatoid arthritis? A comparative investigation with knee arthritis in an experimental rat model.,10.1111/joa.70080,2025
Efficacy and safety of the stellate ganglion block for posttraumatic stress disorder in veterans: Rationale for and methods of a multisite trial.,10.1016/j.cct.2025.108180,2026
Pharmacokinetics and tolerability of liposomal synthetic cannabidiol subcutaneous depot in Holstein dairy calves.,10.3168/jds.2025-27373,2026
Engineered microalgae-driven gel platform promotes the repairing of senescence-associated intervertebral disc degeneration in rats and goats.,10.1016/j.jconrel.2025.114500,2026
Impact of carotid artery sectioning on cerebral blood flow in bovines: a numerical hemodynamic study.,10.2460/ajvr.25.09.0347,2026
"Quantifying the fatal and non-fatal burden of disease associated with child growth failure, 2000-2023: a systematic analysis from the Global Burden of Disease Study 2023.",10.1016/S2352-4642(25)00303-7,2026
Integrating multi-modal data fusion approaches for analysis of dairy cattle vocalizations.,10.3389/fvets.2025.1704031,2025
Intervertebral disc degeneration is accelerated by GH overexpression but attenuated by GH antagonism.,10.1007/s11357-025-02022-9,2025
Effect of butorphanol in combination with xylazine during castration of calves: A randomised trial under field conditions.,10.1002/vetr.6017,2025
A biomechanical digital twin of Legg-Calvé-Perthes disease deformity.,10.1007/s11548-025-03553-4,2025
"E1K, a disease-modifying drug candidate for knee osteoarthritis, alleviates pain and regenerates cartilage simultaneously by inhibiting TGF-β1-mediated SMAD1/5/9 signaling in osteoarthritis models.",10.1016/j.joca.2025.11.010,2026
Pain in sickle cell disease: a prospective multicentre community-based cohort study in underserved Indian communities.,10.1080/17474086.2025.2597360,2026
[Efficacy of CMC-Na oral film combined with rb-bFGF gel in the treatment of radiation-induced oral mucositis in patients with head and neck cancer].,,2025
Nutritional and Supplemental Interventions for Prevention and Treatment of Oral Mucositis in Pediatric Oncology.,10.3390/nu17223521,2025
"Liposomal-synthetic-cannabidiol: preliminary translational evidence of efficacy, tolerability and pharmacokinetics following repeated subcutaneous injections in two goats.",10.3389/fphar.2025.1689226,2025
Impact of adjustable resistance clamps on the in-vitro hemolysis assessment of blood pumps.,10.1038/s41598-025-25380-y,2025
Genetic analysis and quantitative trait loci detection of udder traits in Jersey cattle.,10.1186/s12864-025-12235-z,2025
Post-Streptococcal Myositis: Etiology of Myalgia and Severe Inflammation in a Child.,10.1542/peds.2025-070952,2025
A critical comparison of polypropylene and polyurethane sling materials after implantation in a suburethral sheep model.,10.1016/j.biomaterials.2025.123852,2026
Platelet-rich plasma application for the management of early-stage Canine Legg-calvé-perthes disease: A clinical case report.,10.5455/OVJ.2025.v15.i10.60,2025
Inflammatory-induced swelling after total knee arthroplasty: Obesity and preoperative joint pain as key predictors.,10.1186/s42836-025-00344-9,2025
"Clinical epidemiological characteristics and treatment outcomes of Brucella spondylitis in Ningxia, China: a 12‑year single‑center retrospective study.",10.1186/s12879-025-12101-z,2025
"Missed for Years, Cured in Hours: Surgical Excision of a Popliteal Schwannoma With Intraoperative Neuromonitoring.",10.7759/cureus.94392,2025
Main Husbandry Practices and Health Conditions That Affect Welfare in Calves: A Narrative Review.,10.3390/ani15213064,2025
Variation in perceptions of pain and attitudes towards non-steroidal anti-inflammatory drug use for different lameness scenarios in dairy cattle.,10.1002/vetr.5919,2026
Development and evaluation of an in situ gelling flurbiprofen throat spray for enhanced mucosal drug delivery and throat inflammation treatment.,10.1007/s00210-025-04785-6,2026
"Safety and functional evaluation of a synthetic lamina cover that replaces lost autologous spinal bone after laminectomy, in a sheep and human study.",10.1016/j.xnsj.2025.100795,2025
Type of study: original study.,10.1007/s10103-025-04739-7,2025
Exploring biomarkers of change in movement-evoked pain in Achilles tendinopathy: A secondary analysis of a randomized controlled trial.,10.1016/j.clinbiomech.2025.106706,2026
Short communication: salivary cortisol concentrations and lying behavior of ewes in response to semi-laparoscopic and laparoscopic embryo transfer.,10.1093/jas/skaf381,2025
The Impact of the Ovine Annular Lesion Model on IVD Pathobiology and Utility of the Ovine Spinal Model in Patho-Anatomical Studies: A Historical Perspective.,10.1002/jsp2.70128,2025
Proteins as indicators of stress and pain in lambs after castration by a rubber ring with and without pain relief.,10.1016/j.theriogenology.2025.117741,2026
Evaluation of the cardiorespiratory and antinociceptive effects of the total intravenous anesthesia technique with xylazine-butorphanol-propofol compared to isoflurane in calves under experimental laparotomy.,10.3389/fvets.2025.1688448,2025
Magnetic resonance imaging provides accurate measures of cartilage creep and biomechanical tissue properties: Ex vivo comparison to ground truth mechanical testing.,10.1016/j.jmbbm.2025.107251,2026
Evaluating Policresulen for Disbudding Dairy Calves: A Two-Part Study on Calf Welfare and Consumer Perceptions.,10.3390/ani15202977,2025
"Impact of Two Surgical Techniques for Umbilical Hernia Repair, With and Without Peritoneal Opening, on Pain Response, Sedation, and Oxidative Stress in Calves.",10.3390/vetsci12100963,2025
Attitudes Towards Animals and Calf Disbudding Techniques: A Mixed Methods Study Using the Animal Attitude Scale (AAS-10).,10.3390/vetsci12100939,2025
Needle-free vascular access port for hemodialysis: Proof-of-concept validation in an experimental animal study.,10.1016/j.jvscit.2025.101983,2025
Combined sodium aescinate and calf blood extract gel for corneal foreign body injury.,10.36721/PJPS.2025.38.6.REG.14567.1,2025
"Global, regional, and national sepsis incidence and mortality, 1990-2021: a systematic analysis.",10.1016/S2214-109X(25)00356-0,2025
From growing pains to growing evidence: a 2025 update on novel insights in lower limb osteochondroses.,10.1097/MOP.0000000000001523,2026
First steps in the development of an ovine proximal phalanx fracture and bone defect model: a study of animal welfare and bone healing.,10.3389/fvets.2025.1662553,2025
Efficacy and adverse effects of three delivery methods for aerosolized salbutamol in anesthetized European moose (Alces alces alces): a case series.,10.1186/s13028-026-00856-7,2026
"Anatomy, Bony Pelvis and Lower Limb: Calf.",,2026
Antimicrobial treatment of Brucella-infected prosthetic knee with sinus tract: A case report.,10.1097/MD.0000000000046946,2026
Influenza-Associated Benign Acute Childhood Myositis During the 2024-2025 Season: A Retrospective Multicenter Study.,10.3390/children12101333,2025
Intramuscular hemangioma presenting as ankle equinus deformity in a pediatric patient: a case report and literature review.,10.1093/jscr/rjaf847,2025
"Ontario dairy veterinarians' perspectives on down cow care, producer decision making, and implementation of recommended practices: A qualitative interview study.",10.3168/jds.2025-27044,2025
Correlations between the Central Sensitization Inventory and measures of endogenous pain modulation in women with fibromyalgia.,10.1016/j.msksp.2025.103436,2025
Popliteal Artery Entrapment Syndrome: A Review of Current Concepts.,10.1177/00031348251391843,2026
Clinical and radiographic outcomes of entire papilla preservation versus open flap debridement using bovine-derived xenograft and leukocyte- and platelet-rich fibrin in the treatment of isolated intrabony defects.,10.1186/s12903-025-07008-9,2025
Mindfulness meditation reduces pain more effectively than slow-breathing meditation: the mediating role of respiration.,10.1097/j.pain.0000000000003832,2026
Biotinidase as a novel biomarker for pain assessment in dairy cattle.,10.1097/PR9.0000000000001338,2025
Rebound warfarin toxicity presenting with spontaneous hemopericardium in cardiac tamponade: a case report.,10.1186/s12245-025-01037-5,2025
Digital Therapeutic Intervention for Venous Thromboembolism Prevention: Efficacy Evaluation of Telemonitored Ankle Pump System in Tibial Plateau Fracture Patients.,10.62713/aic.4045,2025
Fluoroquinolone-Associated Tendinopathy Presenting As Calf Myotendinous Strain.,10.7759/cureus.92201,2025
[Correlation analysis of clinical features between wet and dry gangrene in diabetic foot].,10.12200/j.issn.1003-0034.20250032,2025
High-Resolution 3-Dimensional Micro-CT Imaging of Intervertebral Discs Using a Novel Contrast Agent.,10.1002/jsp2.70125,2025
Effects of neuromuscular electrical stimulation on symptoms of chronic venous disease of the lower limbs: A systematic review.,10.1177/1358863X251361486,2026
Cardiotoxicity Secondary to Accidental Tilmicosin (Micotil®300) Ingestion in a Young Shepherd: A Case Report.,10.12659/AJCR.948094,2025
"Associations Between Post-traumatic Seizures, Antiseizure Medication, and Duration of Post-traumatic Amnesia: A Retrospective Cohort Analysis.",10.1016/j.apmr.2025.09.020,2025
A Large Calf Mass in a Patient with Rheumatoid Arthritis: Giant Pannus Filling Baker's Cyst.,10.4103/jmu.jmu_40_24,2025
Sarcopenia as an Independent Predictor of Poorer Functional Outcomes in Patients Undergoing Post-hip Fracture Rehabilitation.,10.7759/cureus.91105,2025
Idiopathic Flatfoot in Children and Adolescents Treated with Arthroereisis-Muscle Recession May Not Be Necessary in Feet with Mild Gastrocnemius Shortening.,10.3390/children12091239,2025
Effects of methotrexate on Wnt/β-catenin signaling and glial activation in temporomandibular joint arthritis in rats.,10.1111/eos.70041,2025
The observational chart for traumatic limb swelling enhances diagnostic accuracy for osteofascial compartment syndrome.,10.1016/j.cjtee.2025.08.004,2025
Myotonic Dystrophy Type 2.,,1993
"Assessing the relationship between incisor wear, age, and body condition in Dohne Merino ewes (Ovis aries).",10.1017/awf.2025.10027,2025
Fasd (Venesection) as a Treatment Option for Sciatica (Irq al-Nasa): A Case Report.,,2025
Increased growth rate post-weaning affects mammary gene expression of two-year-old ewes during their second pregnancy and lactation.,10.1093/jas/skaf320,2025
"Recharging Healthcare Professionals: A Randomized Controlled Trial on the Impact of Automated Massage Chairs on Depression, Anxiety, Stress, Musculoskeletal Pain, and Biochemical Markers.",10.1002/hsr2.71226,2025
A Composite Dermal Matrix Comprising Ovine Forestomach Matrix and Hyaluronic Acid in the Treatment of Chronic Wounds Secondary to Calciphylaxis: A Case Series and Literature Review.,10.1097/ASW.0000000000000361,2025
The effect of combined dry needling and stretching exercises on pain and function in patients with patellofemoral pain: A randomized clinical trial.,10.1016/j.jbmt.2025.05.072,2025
Feature Extraction and Automatic Recognition Model Construction for Head Back Posture During the Parturition Process in Dairy Cows.,10.3390/ani15172470,2025
Current Trends and New Developments in Assessing and Managing Pain in Cattle.,10.1016/j.cvfa.2025.07.005,2025
Minimum 5-Year Outcomes After Minimally Invasive Achilles Tendon Reconstruction Using Autologous Hamstring Grafts.,10.1177/24730114251363880,2025
Effectiveness of customized healing abutments in immediate implants: a randomized clinical trial.,10.1590/1807-3107bor-2025.vol39.084,2025
Bleomycin Electrosclerotherapy (BEST) of Slow-Flow Vascular Malformations (SFVMs) in Children.,10.1016/j.jpedsurg.2025.162631,2025
Exploring the alleviating effect and mechanism of the diterpenoid alkaloid Polyschistine D on rheumatoid arthritis based on network pharmacology and non-targeted metabolomics.,10.1016/j.intimp.2025.115436,2025
Is the weight-bearing lunge test a better tool for assessing ankle mobility in chronic venous insufficiency? A reliability and validity study.,10.1177/02683555251377308,2025
Preclinical safety and feasibility of a bupivacaine-loaded hydrogel for pain relief after spinal surgery.,10.1038/s41598-025-17790-9,2025
Brain levels of the neurotransmitter γ-aminobutyric acid are reduced in people with HIV-related neuropathic pain.,10.1097/j.pain.0000000000003794,2026
Integration of genome and transcriptome reveals core genes and allele-specific expression genetic variants associated with immune differentiation of taurine ancestry dairy cattle from indicine ancestry cattle.,10.1186/s12864-025-11936-9,2025
Open Wound Healing in Guided Bone Regeneration Using a Magnesium Membrane: A Paradigm Shift.,10.1002/jbm.b.35642,2025
"Rift Valley fever outbreak among animal handlers in Kinyogoga Village, Nakaseke District, Central Uganda: A case study.",10.1371/journal.pgph.0003420,2025
Use of a lidocaine impregnated band improved behavioral and physiological indicators of pain during tail docking in lambs.,10.1093/jas/skaf281,2025
"The unique molecular signature of TMJ as compared to the knee, demonstrates its susceptibility to osteoarthritis.",10.1016/j.job.2025.100680,2025
The (digestive) path less traveled: influenza A virus and the gastrointestinal tract.,10.1128/mbio.01017-25,2025
Wound characteristics after disbudding: Part II-Comparing cautery and caustic paste methods.,10.3168/jds.2025-26687,2025
Wound characteristics after disbudding: Part I-Effects of caustic paste dose and presence of hair.,10.3168/jds.2025-26688,2025
Influenza B-associated acute myositis in a child in Sri Lanka: a case report.,10.1186/s13256-025-05072-x,2025
Pain and pessimism affect calves' play behaviours post-disbudding.,10.1007/s44338-025-00105-7,2025
Four-site distal paravertebral blocks improve physiologic indicators of analgesia in the immediate postoperative period as opposed to a 3-site distal paravertebral block.,10.2460/javma.25.02.0120,2025
Transdermal delivery of antenatal steroids to promote fetal lung maturation: Proof of principle data from sheep and non-human primate models.,10.1186/s12916-025-04267-9,2025
Use of type I bovine collagen membranes for treating deep and perforating corneal ulcers in brachycephalic dogs: a case series.,10.1007/s11259-025-10829-2,2025
Impact of Tourniquet Use on Arthroscopic Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,10.2106/JBJS.24.00792,2025
"The Effects of Pulsed Electromagnetic Field (PEMF) on Muscular Strength, Functional Performance and Depressive Symptoms in Elderly Adults with Sarcopenia: A Short-Term Intervention.",10.3390/life15071111,2025
Welfare of beef cattle.,10.2903/j.efsa.2025.9518,2025
Rapid post exercise venous refilling time is an independent contributor to chronic venous insufficiency.,10.1016/j.jvsv.2025.102292,2025
Efficacy of pain management for cattle castration: A systematic review and meta-analysis.,10.1017/awf.2025.10016,2025
